Fecha,AAPL,GC=F,MSFT,SPY,WALMEX.MX
2020-01-02,72.40052032470703,1524.5,152.1584014892578,296.8882141113281,46.37880325317383
2020-01-03,71.6966323852539,1549.199951171875,150.26376342773438,294.6400451660156,46.016998291015625
2020-01-06,72.2679214477539,1566.199951171875,150.65213012695312,295.76409912109375,46.50922775268555
2020-01-07,71.92803955078125,1571.800048828125,149.27853393554688,294.9324951171875,46.26100540161133
2020-01-08,73.08511352539062,1557.4000244140625,151.6563262939453,296.50433349609375,46.87523651123047
2020-01-09,74.63748931884766,1551.699951171875,153.5509796142578,298.5149230957031,46.7574462890625
2020-01-10,74.80622100830078,1557.5,152.84043884277344,297.65576171875,47.26229476928711
2020-01-13,76.4044189453125,1548.4000244140625,154.6782684326172,299.7028503417969,47.64934158325195
2020-01-14,75.37271118164062,1542.4000244140625,153.5888671875,299.2460021972656,47.69141387939453
2020-01-15,75.0497055053711,1552.0999755859375,154.5835723876953,299.9222106933594,47.51472091674805
2020-01-16,75.98981475830078,1549.0,157.41603088378906,302.41705322265625,48.25516128540039
2020-01-17,76.83110046386719,1558.800048828125,158.2970428466797,303.3583984375,48.90304946899414
2020-01-20,76.83110046386719,1558.800048828125,158.2970428466797,303.3583984375,48.9871940612793
2020-01-21,76.3104019165039,1556.4000244140625,157.7286376953125,302.76434326171875,48.93670654296875
2020-01-22,76.58280181884766,1555.300048828125,156.97076416015625,302.8009338378906,47.63251876831055
2020-01-23,76.95160675048828,1564.5999755859375,157.9370880126953,303.1481628417969,48.07004928588867
2020-01-24,76.72985076904297,1571.0999755859375,156.3455810546875,300.4522705078125,47.82604217529297
2020-01-27,74.47358703613281,1576.800048828125,153.73094177246094,295.63616943359375,46.185279846191406
2020-01-28,76.58038330078125,1569.199951171875,156.74339294433594,298.7341613769531,47.06877136230469
2020-01-29,78.18338775634766,1569.800048828125,159.1875,298.48748779296875,47.1192512512207
2020-01-30,78.07011413574219,1583.5,163.67779541015625,299.4561767578125,47.228641510009766
2020-01-31,74.60856628417969,1582.9000244140625,161.26214599609375,294.0187072753906,46.46295166015625
2020-02-03,74.4036865234375,1577.199951171875,165.1934814453125,296.2027587890625,46.46295166015625
2020-02-04,76.86002349853516,1550.4000244140625,170.63116455078125,300.7172546386719,47.6451416015625
2020-02-05,77.48676300048828,1557.800048828125,170.42266845703125,304.19000244140625,47.22022247314453
2020-02-06,78.39311218261719,1565.0999755859375,173.9562225341797,305.21343994140625,46.45452880859375
2020-02-07,77.32754516601562,1568.5999755859375,174.20249938964844,303.5869140625,47.1192512512207
2020-02-10,77.69482421875,1574.699951171875,178.75912475585938,305.8531799316406,47.316986083984375
2020-02-11,77.22603607177734,1565.5999755859375,174.72354125976562,306.3832702636719,47.338016510009766
2020-02-12,79.06001281738281,1567.4000244140625,174.97935485839844,308.3572082519531,47.32960891723633
2020-02-13,78.49700927734375,1575.0999755859375,174.03201293945312,308.0282897949219,48.18784713745117
